Customer ID,Recency,Frequency,Monetary,Cluster,PCA1,PCA2,Segment
12346.0,326,12,77556.46,0,3.42252314456126,2.466414367246056,Regular Customers
12347.0,2,8,4921.53,0,0.5104998899150901,-0.8127080062101749,Regular Customers
12348.0,75,5,2019.4,0,0.10212241376009097,-0.5939459871130167,Regular Customers
12349.0,19,4,4428.69,0,0.2512054027271883,-0.7913343278873265,Regular Customers
12350.0,310,1,334.4,1,-0.575024343486509,0.3594290632240449,At-Risk Customers
12351.0,375,1,300.93,1,-0.685228030309464,0.6453363758188494,At-Risk Customers
12352.0,36,10,2849.84,0,0.46550438798696914,-0.6936274093464826,Regular Customers
12353.0,204,2,406.76,0,-0.3423020827189484,-0.09603984356234123,Regular Customers
12354.0,232,1,1079.4,0,-0.4112905721468818,0.033889457974942624,Regular Customers
12355.0,214,2,947.61,0,-0.3348633616131863,-0.03845968794208953,Regular Customers
12356.0,23,6,6371.73,0,0.4357456107026211,-0.7046358956769697,Regular Customers
12357.0,33,3,18287.66,0,0.7947452631578955,-0.39484825598378503,Regular Customers
12358.0,2,5,3887.07,0,0.30765055695114996,-0.8694761212870208,Regular Customers
12359.0,58,10,8873.39,0,0.6978197068505536,-0.4466009835704324,Regular Customers
12360.0,52,8,4252.89,0,0.39700581190364004,-0.6087862239956533,Regular Customers
12361.0,287,4,511.25,1,-0.3720236683123543,0.29338212760516164,At-Risk Customers
12362.0,3,11,5356.23,0,0.6848818285550706,-0.7664614597159287,Regular Customers
12363.0,110,2,552.0,0,-0.17860428412090745,-0.5070947275298328,Regular Customers
12364.0,8,4,1313.1,0,0.13040969050780682,-0.9174323506736827,Regular Customers
12365.0,291,2,641.38,1,-0.4773221493428548,0.29359311960793516,At-Risk Customers
12366.0,634,1,500.24,1,-1.109484700154343,1.792850073222144,At-Risk Customers
12367.0,4,1,168.9,0,-0.07065265507936554,-0.9945783765257007,Regular Customers
12368.0,628,1,917.6999999999999,1,-1.08079958212852,1.7767757206414454,At-Risk Customers
12369.0,413,3,1791.15,1,-0.5777809122191574,0.8707478111340734,At-Risk Customers
12370.0,51,7,4316.56,0,0.3493115578733218,-0.621949645168754,Regular Customers
12371.0,45,5,4067.38,0,0.24379133832442315,-0.6752967484772556,Regular Customers
12372.0,72,3,1298.04,0,-0.029510292142569894,-0.645815353207558,Regular Customers
12373.0,311,3,1127.65,1,-0.43683499722730623,0.4042655737500284,At-Risk Customers
12374.0,25,4,2989.2200000000003,0,0.17686082961834104,-0.8007062168342804,Regular Customers
12375.0,11,2,457.5,0,-0.017254958922762156,-0.9461756870753035,Regular Customers
12376.0,390,2,503.15,1,-0.6490689510641967,0.7268795137472647,At-Risk Customers
12377.0,315,4,3426.32,1,-0.28861783594214196,0.48948126715627893,At-Risk Customers
12378.0,130,2,5416.32,0,0.00526599376360302,-0.2977538680292056,Regular Customers
12379.0,82,4,1620.22,0,0.02037031888216769,-0.583342397003347,Regular Customers
12380.0,22,11,9676.300000000001,0,0.8461095574072817,-0.5750828573976647,Regular Customers
12381.0,5,5,1845.31,0,0.21141530515554957,-0.9070781501976314,Regular Customers
12383.0,185,5,1850.56,0,-0.0893887266045916,-0.11289638598590492,Regular Customers
12384.0,29,2,585.27,0,-0.04165054750592552,-0.8635893351928476,Regular Customers
12385.0,379,1,1938.4,1,-0.6187619484266467,0.7037520617322691,At-Risk Customers
12386.0,338,2,401.9,1,-0.5666257082588588,0.49496604269137273,At-Risk Customers
12387.0,415,1,143.94,1,-0.7591391990366769,0.8178833910177848,At-Risk Customers
12388.0,16,8,3901.11,0,0.4414973579927853,-0.7763551335556369,Regular Customers
12389.0,403,3,1433.33,1,-0.5770425606310653,0.8177247788167308,At-Risk Customers
12390.0,80,1,549.84,0,-0.18073890766570166,-0.6498276459817377,Regular Customers
12391.0,22,6,2724.84,0,0.27448910317794456,-0.7998484016957982,Regular Customers
12392.0,591,1,234.75000000000003,1,-1.0494309945695355,1.5965498690571813,At-Risk Customers
12393.0,72,6,2399.4500000000003,0,0.1763301079516415,-0.5873803015349094,Regular Customers
12394.0,64,2,1272.48,0,-0.06948394160934245,-0.6920802065703321,Regular Customers
12395.0,19,15,4721.17,0,0.8385956982945029,-0.6703418277373169,Regular Customers
12396.0,674,1,931.43,1,-1.1571182607458892,1.9800417301973192,At-Risk Customers
12397.0,36,2,2409.9,0,0.02815980981062787,-0.7872795121390062,Regular Customers
12398.0,46,1,1635.6599999999999,0,-0.07536582534649533,-0.7727800685766254,Regular Customers
12399.0,119,7,1962.3,0,0.13040663775574363,-0.38059171500699196,Regular Customers
12400.0,414,1,205.25,1,-0.7547276687350404,0.8149985068743205,At-Risk Customers
12401.0,303,1,84.3,1,-0.5744907885009576,0.3223222525404687,At-Risk Customers
12402.0,323,6,1256.9,1,-0.2944961857307967,0.49143229729941434,At-Risk Customers
12403.0,50,2,1019.36,0,-0.05737825260093729,-0.7601419729099873,Regular Customers
12404.0,682,1,63.24,1,-1.2092851255006505,1.993716492342783,At-Risk Customers
12405.0,149,1,1710.39,0,-0.24428814395638107,-0.31654576821150754,Regular Customers
12406.0,22,5,6390.36,0,0.38603914362454456,-0.7189207331947296,Regular Customers
